Segmento,Ativo,Baseline_Acc,Baseline_F1,MSRCNN_Acc,MSRCNN_F1,Attention_Acc,Attention_F1
BlueChips,VALE3.SA,0.28859060402684567,0.19127747252747254,0.2550335570469799,0.1384335154826958,0.2550335570469799,0.1354723707664884
BlueChips,PETR4.SA,0.348993288590604,0.1724709784411277,0.348993288590604,0.1724709784411277,0.348993288590604,0.1724709784411277
BlueChips,ITUB4.SA,0.3825503355704698,0.2796547263048504,0.4228187919463087,0.3704997827031726,0.3087248322147651,0.22426347916543996
BlueChips,BBDC4.SA,0.3087248322147651,0.2897462474927263,0.2684563758389262,0.20284477427334568,0.2684563758389262,0.14109347442680775
BlueChips,BBAS3.SA,0.15436241610738255,0.08914728682170542,0.15436241610738255,0.08914728682170542,0.15436241610738255,0.08914728682170542
BlueChips,ABEV3.SA,0.4899328859060403,0.21921921921921925,0.44966442953020136,0.33141075818124394,0.4899328859060403,0.21921921921921925
BlueChips,WEGE3.SA,0.436241610738255,0.3782937148648808,0.40268456375838924,0.31980491942324,0.3825503355704698,0.29566927450728914
BlueChips,RENT3.SA,0.3422818791946309,0.17,0.3422818791946309,0.17,0.3422818791946309,0.17
BlueChips,SUZB3.SA,0.35570469798657717,0.20750941619585692,0.3288590604026846,0.20422535211267603,0.4161073825503356,0.19589257503949445
BlueChips,BPAC11.SA,0.30201342281879195,0.15463917525773196,0.30201342281879195,0.15463917525773196,0.30201342281879195,0.15463917525773196
BlueChips,EQTL3.SA,0.28187919463087246,0.2442455242966752,0.28187919463087246,0.24687170825614765,0.28187919463087246,0.25881235685157256
BlueChips,RADL3.SA,0.40268456375838924,0.3766955266955267,0.28187919463087246,0.2522738929929979,0.28859060402684567,0.21831661352619436
BlueChips,B3SA3.SA,0.3422818791946309,0.2729749103942652,0.2751677852348993,0.14385964912280702,0.2751677852348993,0.14385964912280702
BlueChips,VIVT3.SA,0.3959731543624161,0.19376026272577995,0.40939597315436244,0.19365079365079366,0.40939597315436244,0.19365079365079366
SmallCaps,MGLU3.SA,0.5704697986577181,0.3520087575259989,0.5503355704697986,0.2818532818532819,0.5771812080536913,0.24397163120567375
SmallCaps,COGN3.SA,0.5033557046979866,0.2232142857142857,0.5033557046979866,0.2232142857142857,0.5033557046979866,0.2232142857142857
SmallCaps,YDUQ3.SA,0.47651006711409394,0.24074074074074073,0.4161073825503356,0.27632732915064423,0.4966442953020134,0.2212257100149477
SmallCaps,CVCB3.SA,0.40268456375838924,0.267618715894578,0.4697986577181208,0.213089802130898,0.4697986577181208,0.213089802130898
SmallCaps,ALPA4.SA,0.22818791946308725,0.1815062617944759,0.3959731543624161,0.2450080295730691,0.4563758389261745,0.20890937019969277
SmallCaps,TASA4.SA,0.2550335570469799,0.1354723707664884,0.3288590604026846,0.25099127676447264,0.2550335570469799,0.1354723707664884
SmallCaps,LWSA3.SA,0.3424657534246575,0.20184470184470185,0.3493150684931507,0.17258883248730963,0.3493150684931507,0.17258883248730963
SmallCaps,MRVE3.SA,0.40268456375838924,0.22167487684729062,0.3825503355704698,0.18446601941747573,0.3825503355704698,0.18446601941747573
SmallCaps,EZTC3.SA,0.348993288590604,0.197035118019574,0.40268456375838924,0.19138755980861244,0.40268456375838924,0.19138755980861244
SmallCaps,POMO4.SA,0.3825503355704698,0.18446601941747573,0.3825503355704698,0.18446601941747573,0.3825503355704698,0.18446601941747573
SmallCaps,RAPT4.SA,0.30201342281879195,0.15463917525773196,0.30201342281879195,0.15463917525773196,0.30201342281879195,0.15463917525773196
SmallCaps,TEND3.SA,0.3087248322147651,0.22994868246554803,0.3422818791946309,0.195448079658606,0.35570469798657717,0.17491749174917492
SmallCaps,DIRR3.SA,0.4563758389261745,0.20890937019969277,0.4563758389261745,0.20890937019969277,0.3691275167785235,0.2549900199600798
Commodities,GC=F,0.5827814569536424,0.24546722454672246,0.5827814569536424,0.24546722454672246,0.5827814569536424,0.24546722454672246
Commodities,SI=F,0.5165562913907285,0.38610465759486673,0.36423841059602646,0.1779935275080906,0.36423841059602646,0.1779935275080906
Commodities,CL=F,0.3443708609271523,0.17077175697865354,0.3443708609271523,0.17077175697865354,0.3443708609271523,0.17077175697865354
Commodities,BZ=F,0.34210526315789475,0.19756667472403514,0.3223684210526316,0.1625207296849088,0.3223684210526316,0.1625207296849088
Commodities,ZS=F,0.3973509933774834,0.1895734597156398,0.4105960264900662,0.19405320813771518,0.4105960264900662,0.19405320813771518
Commodities,ZC=F,0.32450331125827814,0.24392274392274393,0.36423841059602646,0.2436126783175084,0.3841059602649007,0.1850079744816587
Commodities,KC=F,0.3092105263157895,0.18564281559045956,0.2894736842105263,0.14965986394557823,0.2894736842105263,0.14965986394557823
Commodities,LE=F,0.5894039735099338,0.24722222222222223,0.5894039735099338,0.24722222222222223,0.5894039735099338,0.24722222222222223
Commodities,SB=F,0.35526315789473684,0.311161564040821,0.28289473684210525,0.147008547008547,0.28289473684210525,0.147008547008547
Commodities,HG=F,0.3881578947368421,0.29726675828370747,0.3618421052631579,0.25416065416065414,0.3618421052631579,0.2660455327121994
FIIs,KNRI11.SA,0.5503355704697986,0.26109239584233107,0.6241610738255033,0.256198347107438,0.5637583892617449,0.24034334763948498
FIIs,HGLG11.SA,0.8523489932885906,0.30676328502415456,0.8523489932885906,0.30676328502415456,0.8523489932885906,0.30676328502415456
FIIs,MXRF11.SA,0.8322147651006712,0.3028083028083028,0.8322147651006712,0.3028083028083028,0.8322147651006712,0.3028083028083028
FIIs,XPLG11.SA,0.6940298507462687,0.27312775330396477,0.6940298507462687,0.27312775330396477,0.6940298507462687,0.27312775330396477
FIIs,VISC11.SA,0.5838926174496645,0.2457627118644068,0.5838926174496645,0.2457627118644068,0.5838926174496645,0.2457627118644068
FIIs,BTLG11.SA,0.6644295302013423,0.2661290322580645,0.6644295302013423,0.2661290322580645,0.6644295302013423,0.2661290322580645
FIIs,CPTS11.SA,0.6577181208053692,0.4130480385986994,0.5637583892617449,0.3707411062549932,0.5704697986577181,0.3740598836384277
FIIs,IRDM11.SA,0.4626865671641791,0.2108843537414966,0.4626865671641791,0.2108843537414966,0.4626865671641791,0.2108843537414966
FIIs,VILG11.SA,0.5167785234899329,0.40200856594299217,0.46308724832214765,0.2770226537216829,0.44966442953020136,0.22715501294857565
FIIs,RECR11.SA,0.5208333333333334,0.228310502283105,0.5208333333333334,0.228310502283105,0.5208333333333334,0.228310502283105
FIIs,TGAR11.SA,0.6308724832214765,0.25788751714677643,0.6308724832214765,0.25788751714677643,0.6308724832214765,0.25788751714677643
FIIs,HGRE11.SA,0.5033557046979866,0.2232142857142857,0.5033557046979866,0.2232142857142857,0.5033557046979866,0.2232142857142857
FIIs,BRCR11.SA,0.5570469798657718,0.2385057471264368,0.5838926174496645,0.2457627118644068,0.5838926174496645,0.2457627118644068
FIIs,HGBS11.SA,0.7516778523489933,0.28607918263090676,0.7516778523489933,0.28607918263090676,0.7516778523489933,0.28607918263090676
FIIs,ALZR11.SA,0.8657718120805369,0.30935251798561153,0.8657718120805369,0.30935251798561153,0.8657718120805369,0.30935251798561153
BDRs,AAPL34.SA,0.30201342281879195,0.23802940806836748,0.5369127516778524,0.2560268538297223,0.5369127516778524,0.2328966521106259
BDRs,MSFT34.SA,0.2751677852348993,0.14385964912280702,0.3288590604026846,0.31466379442991227,0.3288590604026846,0.3162393162393162
BDRs,AMZO34.SA,0.28859060402684567,0.23119497951712717,0.31543624161073824,0.270374816593304,0.33557046979865773,0.24338624338624337
BDRs,GOGL34.SA,0.2348993288590604,0.2178268600286949,0.44966442953020136,0.20679012345679013,0.24161073825503357,0.22789289021416861
BDRs,TSLA34.SA,0.5167785234899329,0.2939925571504519,0.5167785234899329,0.30672926447574334,0.5570469798657718,0.2385057471264368
BDRs,NVDC34.SA,0.30201342281879195,0.16793564761044436,0.4966442953020134,0.2212257100149477,0.3221476510067114,0.16243654822335027
BDRs,MELI34.SA,0.4429530201342282,0.3444944194569382,0.4161073825503356,0.19589257503949445,0.4161073825503356,0.19589257503949445
BDRs,BABA34.SA,0.348993288590604,0.2603550295857988,0.28187919463087246,0.14659685863874347,0.28187919463087246,0.14659685863874347
BDRs,DISB34.SA,0.40939597315436244,0.19365079365079366,0.40939597315436244,0.19365079365079366,0.40939597315436244,0.19365079365079366
